N	Naive 		Strassen 	Improved 	Check
-------------------------------------------------------------
1	0.000005	0.000000	0.000003	1 - 1
2	0.000003	0.000003	0.000002	1 - 1
4	0.000006	0.000005	0.000005	1 - 1
8	0.000012	0.000008	0.000010	1 - 1
16	0.000033	0.000047	0.000056	1 - 1
32	0.000149	0.000084	0.000163	1 - 1
64	0.001124	0.000570	0.000442	1 - 1
128	0.006557	0.003768	0.002560	1 - 1
256	0.048486	0.021759	0.016252	1 - 1
512	0.627347	0.134988	0.107869	1 - 1
1024	11.605601	0.917266	0.759288	1 - 1
2048	107.438826	7.136602	5.403608	1 - 1
